Timestamp,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Exercise_Type,Label
2025-04-18 22:11:45,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.4261,0.0059,-0.4341,-0.4165,0.0176,0.4262,0.1816,0.0000,0.8861,0.0052,0.8760,0.8970,0.0210,0.8861,0.7853,0.0000,28.5767,0.5059,27.4658,29.2358,1.7700,28.5811,816.8814,0.0000,0.3296,0.5925,-0.6714,1.5259,2.1973,0.6780,0.4597,4.0000,-0.0163,1.1176,-2.0752,1.4038,3.4790,1.1177,1.2492,9.0000,0.0245,0.0581,-0.0824,0.1154,0.1978,0.0631,0.0040,5.0000,76.3154,0.0671,76.1902,76.4099,0.2197,76.3155,5824.0493,0.0000,24.9170,0.0769,24.8181,25.0928,0.2747,24.9171,620.8624,0.0000,13.4788,bicep_curl,0
2025-04-18 22:11:51,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.4362,0.0048,-0.4424,-0.4263,0.0161,0.4363,0.1903,0.0000,0.8823,0.0039,0.8750,0.8906,0.0156,0.8823,0.7785,0.0000,28.0436,0.6283,26.8555,29.1138,2.2583,28.0507,786.8394,0.0000,0.1546,0.5278,-1.0376,1.1597,2.1973,0.5500,0.3025,5.0000,1.0091,0.8870,-0.4272,2.5635,2.9907,1.3435,1.8050,2.0000,0.0135,0.0448,-0.0879,0.1099,0.1978,0.0468,0.0022,7.0000,76.5846,0.0522,76.4648,76.6406,0.1758,76.5846,5865.2029,0.0000,25.5172,0.0448,25.4114,25.5872,0.1758,25.5173,651.1301,0.0000,13.4851,bicep_curl,0
2025-04-18 22:11:57,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.4432,0.0029,-0.4478,-0.4365,0.0112,0.4432,0.1964,0.0000,0.8803,0.0029,0.8740,0.8853,0.0112,0.8803,0.7749,0.0000,27.7629,0.3335,27.0996,28.1982,1.0986,27.7649,770.8875,0.0000,0.1099,0.1800,-0.1831,0.3662,0.5493,0.2108,0.0445,5.0000,0.8748,0.3204,0.4272,1.7090,1.2817,0.9317,0.8680,0.0000,0.0128,0.0215,-0.0275,0.0439,0.0714,0.0250,0.0006,4.0000,76.6373,0.0152,76.6187,76.6681,0.0494,76.6373,5873.2804,0.0000,25.8563,0.0301,25.8069,25.8948,0.0879,25.8563,668.5504,0.0000,13.4899,bicep_curl,0
2025-04-18 22:12:03,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.4463,0.0028,-0.4502,-0.4414,0.0088,0.4463,0.1992,0.0000,0.8796,0.0023,0.8760,0.8833,0.0073,0.8796,0.7737,0.0000,27.8076,0.1619,27.4658,28.0762,0.6104,27.8081,773.2898,0.0000,0.2116,0.2077,-0.2441,0.6104,0.8545,0.2965,0.0879,2.0000,0.6266,0.5479,-0.4883,1.5869,2.0752,0.8324,0.6929,2.0000,0.0125,0.0245,-0.0439,0.0439,0.0879,0.0275,0.0008,5.0000,76.5414,0.0208,76.5143,76.5857,0.0714,76.5414,5858.5836,0.0000,26.0588,0.0186,26.0156,26.0870,0.0714,26.0588,679.0634,0.0000,13.4924,bicep_curl,0
2025-04-18 22:12:09,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.4462,0.0039,-0.4526,-0.4399,0.0127,0.4462,0.1991,0.0000,0.8773,0.0031,0.8711,0.8818,0.0107,0.8773,0.7697,0.0000,27.9378,0.3818,27.3438,28.6255,1.2817,27.9404,780.6679,0.0000,0.2889,0.2200,-0.1831,0.6104,0.7935,0.3631,0.1319,3.0000,0.6226,0.4919,-0.1221,1.5259,1.6479,0.7935,0.6296,3.0000,0.0154,0.0443,-0.0604,0.0824,0.1428,0.0469,0.0022,7.0000,76.5249,0.0211,76.4923,76.5692,0.0769,76.5249,5856.0611,0.0000,26.1376,0.0333,26.0815,26.2189,0.1373,26.1376,683.1738,0.0000,13.4900,bicep_curl,0
2025-04-18 22:12:24,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.4407,0.0221,-0.4912,-0.4058,0.0854,0.4412,0.1947,0.0000,0.8781,0.0077,0.8638,0.8970,0.0332,0.8782,0.7712,0.0000,29.0243,1.4782,26.7334,32.1655,5.4321,29.0619,844.5921,0.0000,0.1831,1.9480,-3.9673,3.4180,7.3853,1.9566,3.8284,6.0000,-0.4801,4.3585,-6.7749,12.2681,19.0430,4.3849,19.2275,8.0000,0.0399,0.2294,-0.4504,0.3900,0.8405,0.2328,0.0542,6.0000,75.9375,0.3280,75.4156,76.5747,1.1591,75.9382,5766.6115,0.0000,25.9493,0.5371,25.0269,26.6528,1.6260,25.9549,673.6568,0.0000,13.4853,bicep_curl,0
2025-04-18 22:12:32,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.6351,0.2400,-1.0767,-0.3354,0.7412,0.6789,0.4609,0.0000,0.4004,0.6099,-0.8145,0.9336,1.7480,0.7296,0.5323,1.0000,36.6496,5.6100,27.3438,45.4712,18.1274,37.0765,1374.6632,0.0000,14.7583,11.4017,-1.8311,29.0527,30.8838,18.6496,347.8058,2.0000,-4.6712,10.0060,-20.4468,13.3057,33.7524,11.0427,121.9412,4.0000,7.7095,5.8638,-0.6317,16.7596,17.3914,9.6861,93.8198,1.0000,30.5841,56.3474,-70.0378,75.9045,145.9424,64.1126,4110.4203,1.0000,38.9612,16.5913,20.6653,68.1317,47.4664,42.3467,1793.2439,0.0000,13.4723,bicep_curl,1
2025-04-18 22:12:39,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.6353,0.2268,-0.9785,-0.3042,0.6743,0.6745,0.4550,0.0000,-0.2487,0.5820,-0.8999,0.7695,1.6694,0.6329,0.4005,1.0000,35.6649,8.1377,18.4326,52.9785,34.5459,36.5815,1338.2050,0.0000,1.9979,23.5785,-36.6211,38.3301,74.9512,23.6630,559.9367,3.0000,-1.9491,20.3790,-42.4194,37.5366,79.9561,20.4720,419.1043,3.0000,3.2380,11.2612,-15.3918,18.1274,33.5193,11.7175,137.3003,1.0000,-26.4280,51.8831,-72.0044,69.2084,141.2128,58.2263,3390.2991,1.0000,47.5261,13.9389,28.6414,71.4880,42.8467,49.5280,2453.0260,0.0000,13.3650,bicep_curl,1
2025-04-18 22:12:46,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.3345,0.0469,-0.3862,-0.1802,0.2061,0.3378,0.1141,0.0000,0.9267,0.0262,0.9004,1.0063,0.1060,0.9271,0.8595,0.0000,30.1758,2.4771,25.3906,36.3770,10.9863,30.2773,916.7140,0.0000,0.4761,6.4602,-9.7046,22.2778,31.9824,6.4777,41.9609,5.0000,1.3997,12.0013,-30.2734,30.0293,60.3027,12.0827,145.9911,5.0000,-0.0824,1.0491,-1.3458,3.6035,4.9493,1.0523,1.1073,5.0000,73.0254,0.4368,72.2845,73.8611,1.5765,73.0267,5332.8984,0.0000,20.3148,1.6314,16.5509,21.9836,5.4327,20.3802,415.3534,0.0000,13.4278,bicep_curl,1
2025-04-18 22:12:53,12.1665,0.0000,12.1665,12.1665,0.0000,12.1665,148.0238,0.0000,-0.6276,0.2299,-1.0029,-0.2690,0.7339,0.6684,0.4468,0.0000,-0.3390,0.5505,-0.8779,0.6943,1.5723,0.6465,0.4179,1.0000,36.0555,6.2363,24.8413,45.5933,20.7520,36.5909,1338.8909,0.0000,7.2103,20.5659,-22.5220,43.7012,66.2231,21.7933,474.9462,3.0000,-3.9958,23.2524,-46.8750,26.7334,73.6084,23.5933,556.6418,6.0000,3.8419,9.6806,-14.4525,16.1334,30.5859,10.4151,108.4745,1.0000,-33.3893,49.8881,-73.2458,68.6206,141.8665,60.0306,3603.6688,1.0000,46.4985,12.3484,30.4047,68.1921,37.7875,48.1103,2314.5965,0.0000,13.3938,bicep_curl,1
